投球年,投球月,投球日,投球時間,yy,seq,timestamp(ms),measure_interval(ms),timestamp(count),mx[LSB],my[LSB],mz[LSB],low_ax[LSB],low_ay[LSB],low_az[LSB],hi_ax[LSB],hi_ay[LSB],hi_az[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],mx[mGauss],my[mGauss],mz[mGauss],low_ax[mg],low_ay[mg],low_az[mg],hi_ax[g],hi_ay[g],hi_az[g],gyro_x[dps],gyro_y[dps],gyro_z[dps],status
[2024/10/25 13:46:26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
== yy0 ==============,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,10,25,134626,0,31,602,20,93,341,172,-39,-2048,-52,-7,-12,-18,-14,32,9,227.346,248.9855,1020.254,-591.5274,248.7595,-767.8038,-0.1381817,-0.4400001,-0.338182,-5.11424,15.36712,4.16264,,
2024,10,25,134626,0,32,622,20,89,338,170,-40,-2048,-53,-13,-1,-15,-10,42,5,218.317,242.0724,1020.968,-607.0776,138.2826,-783.3539,-0.6836362,0.5599999,-0.06545472,-3.16224,20.24712,2.21064,,
2024,10,25,134626,0,33,642,20,88,336,168,-39,-2048,-52,-3,-10,-9,-3,34,2,216.232,237.4395,1020.218,-591.5274,248.7595,-767.8038,0.2254546,-0.2581819,0.4799998,0.2537602,16.34312,0.74664,,
2024,10,25,134626,0,34,662,20,88,335,169,-40,-2048,-52,-4,-8,-14,6,14,-5,216.295,234.9793,1022.358,-607.0776,207.9491,-767.8038,0.1345455,-0.07636368,0.0254544,4.64576,6.58312,-2.66936,,
2024,10,25,134626,0,35,682,20,87,336,167,-40,-2048,-52,-4,-9,-6,11,-2,-9,213.919,237.5408,1019.119,-607.0776,207.9491,-767.8038,0.1345455,-0.1672727,0.7527271,7.08576,-1.22488,-4.62136,,
2024,10,25,134626,0,36,702,20,87,334,164,-39,-2048,-52,-7,-9,-21,13,-8,-12,214.215,232.9307,1016.848,-591.5274,248.7595,-767.8038,-0.1381817,-0.1672727,-0.6109092,8.06176,-4.15288,-6.08536,,
2024,10,25,134626,0,37,722,20,88,335,163,-38,-2048,-52,-12,-9,-21,8,-3,-9,216.499,235.3516,1014.497,-575.9773,282.9066,-767.8038,-0.5927272,-0.1672727,-0.6109092,5.62176,-1.71288,-4.62136,,
2024,10,25,134626,0,38,742,20,89,336,163,-39,-2048,-53,-7,-3,-12,0,5,-5,218.749,237.7104,1013.456,-591.5274,194.3208,-783.3539,-0.1381817,0.3781818,0.2072725,1.71776,2.19112,-2.66936,,
2024,10,25,134626,0,39,762,20,92,335,162,-39,-2048,-52,-4,-7,-9,-7,4,1,225.921,235.2565,1012.342,-591.5274,248.7595,-767.8038,0.1345455,0.01454544,0.4799998,-1.69824,1.70312,0.25864,,
2024,10,25,134626,0,40,782,20,89,337,162,-40,-2048,-52,-8,-8,-15,-11,-8,4,218.686,240.1706,1011.316,-607.0776,207.9491,-767.8038,-0.2290908,-0.07636368,-0.06545472,-3.65024,-4.15288,1.72264,,
2024,10,25,134626,0,41,802,20,87,337,164,-40,-2048,-52,-8,-5,-11,-11,-22,7,213.924,240.1251,1014.359,-607.0776,207.9491,-767.8038,-0.2290908,0.1963636,0.2981817,-3.65024,-10.98488,3.18664,,
2024,10,25,134626,0,42,822,20,89,338,165,-39,-2048,-52,-5,-9,-13,-10,-25,7,218.487,242.3826,1014.417,-591.5274,248.7595,-767.8038,0.04363644,-0.1672727,0.1163635,-3.16224,-12.44888,3.18664,,
2024,10,25,134626,0,43,842,20,89,339,170,-40,-2048,-52,-5,-10,-13,-8,-16,6,218.22,244.4705,1020.138,-607.0776,207.9491,-767.8038,0.04363644,-0.2581819,0.1163635,-2.18624,-8.05688,2.69864,,
2024,10,25,134626,0,44,862,20,93,340,167,-39,-2048,-52,2,-3,-15,-7,-2,2,227.613,246.8976,1014.533,-591.5274,248.7595,-767.8038,0.6800001,0.3781818,-0.06545472,-1.69824,-1.22488,0.74664,,
2024,10,25,134626,0,45,882,20,93,339,170,-40,-2048,-52,-8,-2,-20,-4,11,1,227.608,244.3133,1019.293,-607.0776,207.9491,-767.8038,-0.2290908,0.4690909,-0.5200002,-0.2342398,5.11912,0.25864,,
2024,10,25,134626,0,46,902,20,92,339,166,-39,-2048,-51,-1,-13,-13,-2,14,-2,225.397,244.6008,1014.264,-591.5274,292.4353,-752.2537,0.4072728,-0.5309091,0.1163635,0.7417602,6.58312,-1.20536,,
2024,10,25,134626,0,47,922,20,88,334,167,-40,-2048,-53,-7,-11,-10,0,5,-3,216.46,232.7053,1020.567,-607.0776,138.2826,-783.3539,-0.1381817,-0.3490909,0.3890907,1.71776,2.19112,-1.69336,,
2024,10,25,134626,0,48,942,20,91,340,167,-40,-2048,-52,-9,-13,-13,1,-6,-3,222.919,246.9762,1014.955,-607.0776,207.9491,-767.8038,-0.3199999,-0.5309091,0.1163635,2.20576,-3.17688,-1.69336,,
2024,10,25,134626,0,49,962,20,93,339,169,-40,-2048,-52,-6,-11,-12,0,-16,-1,227.642,244.3754,1017.983,-607.0776,207.9491,-767.8038,-0.04727265,-0.3490909,0.2072725,1.71776,-8.05688,-0.71736,,
2024,10,25,134626,0,50,982,20,92,340,169,-39,-2048,-50,-11,-4,-19,-5,-17,2,225.198,246.8129,1017.364,-591.5274,329.6542,-736.7036,-0.5018181,0.2872727,-0.4290911,-0.7222399,-8.544881,0.74664,,
